,id,cast,qpos,lons,lats,juld
178,2900129.0,55.0,8.0,115.844795058281,-63.89086288665,21469.3495717645
179,2900129.0,56.0,8.0,115.477695854394,-63.9011513812704,21476.4102546275
180,2900129.0,57.0,8.0,115.109349201948,-63.9114748374697,21483.4949305654
181,2900129.0,58.0,8.0,114.740726944491,-63.9218060179045,21490.5849074125
182,2900129.0,59.0,1.0,114.377,-63.932,21497.5807291865
183,2900129.0,60.0,1.0,113.987,-64.263,21504.6129860878
184,2900129.0,61.0,1.0,113.836,-64.261,21511.6184953451
185,2900129.0,62.0,1.0,113.845,-64.271,21518.6105092168
186,2900129.0,64.0,8.0,113.737408790468,-64.4986714739198,21532.7203703523
187,2900129.0,65.0,1.0,113.675,-64.616,21539.7884142995
188,2900129.0,66.0,1.0,113.563,-64.665,21546.7997569442
189,2900129.0,67.0,1.0,113.424,-64.63,21553.8119792342
190,2900129.0,68.0,1.0,113.511,-64.582,21560.8187615871
191,2900129.0,69.0,1.0,113.458,-64.529,21567.8316550851
192,2900129.0,70.0,1.0,113.193,-64.53,21574.8472337723
193,2900129.0,71.0,1.0,113.428,-64.503,21581.829444468
194,2900129.0,72.0,1.0,113.619,-64.489,21588.842465281497
195,2900129.0,73.0,1.0,113.92,-64.621,21595.8735995293
196,2900129.0,75.0,1.0,113.227,-64.618,21609.8845139146
197,2900129.0,25.0,1.0,120.251,-63.893,21259.0017476853
198,2900129.0,180.0,1.0,91.943,-63.982,22345.4580208361
199,2900114.0,162.0,1.0,85.559,-60.835,22220.2276273072
200,2900114.0,192.0,1.0,100.017,-58.039,22431.1718171388
201,2900114.0,193.0,1.0,100.117,-57.515,22438.2020370364
202,2900114.0,194.0,1.0,100.207,-57.144,22445.2402083278
203,2900114.0,195.0,1.0,100.343,-57.048,22452.2669675946
204,2900114.0,196.0,1.0,100.486,-57.011,22459.2603472471
205,2900114.0,197.0,1.0,100.661,-57.012,22466.2782523334
206,2900114.0,198.0,8.0,100.59750266129,-57.1504941954535,22473.3207060099
207,2900114.0,199.0,1.0,100.534,-57.289,22480.3637500107
208,2900114.0,200.0,1.0,100.514,-57.398,22487.372581034902
209,2900114.0,201.0,1.0,100.499,-57.55,22494.3843286932
210,2900114.0,202.0,1.0,100.231,-57.594,22501.3904629648
211,2900114.0,203.0,1.0,99.929,-57.484,22508.4183564484
212,2900114.0,204.0,1.0,100.04,-57.203,22515.4420254529
213,2900114.0,205.0,1.0,100.744,-56.813,22522.4889004529
214,2900114.0,206.0,1.0,101.764,-56.175,22529.5453240871
215,2900114.0,207.0,1.0,103.194,-55.927,22536.5781134367
216,2900114.0,208.0,1.0,104.313,-56.329,22543.6254629493
217,2900114.0,209.0,1.0,105.482,-56.111,22550.6383333206
218,2900114.0,210.0,1.0,103.893,-55.775,22557.6141782403
219,2900114.0,211.0,1.0,104.333,-56.426,22564.6975231767
220,2900114.0,212.0,1.0,104.947,-55.79,22571.7290046215
221,2900114.0,213.0,1.0,104.55,-55.538,22578.7546180487
222,2900114.0,214.0,1.0,104.869,-55.594,22585.8513309956
223,2900114.0,215.0,1.0,105.257,-55.829,22592.9093981385
224,2900114.0,216.0,1.0,105.108,-55.862,22599.922175943902
225,2900114.0,191.0,1.0,98.216,-58.494,22424.1340509206
226,2900114.0,161.0,8.0,85.6236675575177,-60.9790599707521,22213.2441087812
227,2900114.0,190.0,1.0,96.481,-58.738,22417.0931365788
228,2900114.0,188.0,1.0,95.538,-59.675,22403.0432638898
229,2900114.0,163.0,1.0,85.186,-59.677,22227.3392361403
230,2900114.0,164.0,1.0,84.213,-58.889,22234.3482407331
231,2900114.0,165.0,1.0,83.576,-58.359,22241.3610764146
232,2900114.0,166.0,1.0,83.295,-58.316,22248.3623726964
233,2900114.0,167.0,1.0,83.584,-58.273,22255.4116550982
234,2900114.0,168.0,1.0,84.337,-57.935,22262.4876736104
235,2900114.0,169.0,1.0,86.049,-59.024,22269.4986342788
236,2900114.0,170.0,1.0,88.02,-60.489,22276.504826366898
237,2900114.0,171.0,1.0,88.359,-59.423,22283.5429861546
238,2900114.0,172.0,1.0,86.614,-58.612,22290.558576405
239,2900114.0,160.0,8.0,85.6893281025176,-61.1253320205299,22206.1533564776
240,2900114.0,174.0,1.0,85.329,-58.656,22304.587835609906
241,2900114.0,175.0,1.0,85.626,-58.994,22311.602881968
242,2900114.0,176.0,1.0,85.622,-59.533,22318.6226504445
243,2900114.0,177.0,1.0,87.683,-60.688,22325.686157465
244,2900114.0,178.0,1.0,89.453,-60.815,22332.6821065545
245,2900114.0,179.0,1.0,89.741,-60.831,22339.7063194513
246,2900114.0,180.0,1.0,90.465,-60.887,22346.722638905
247,2900114.0,181.0,1.0,92.832,-60.179,22353.7781597376
248,2900114.0,182.0,1.0,94.402,-60.67,22360.7846758962
249,2900114.0,183.0,1.0,93.81,-61.141,22367.8109606504
250,2900114.0,184.0,1.0,94.538,-60.636,22374.837627291698
251,2900114.0,185.0,1.0,94.586,-59.24,22381.926018536094
252,2900114.0,186.0,1.0,96.177,-58.979,22388.950636625297
253,2900114.0,187.0,1.0,97.466,-59.804,22396.0028356481
254,2900114.0,189.0,1.0,95.245,-59.138,22410.078425929
255,2900114.0,173.0,1.0,86.0,-58.471,22297.5601041913
256,2900114.0,38.0,8.0,114.187665826604,-63.6967499604865,21351.1757291704
257,2900114.0,159.0,8.0,85.7539397138268,-61.2692673598675,22199.175879642404
258,2900114.0,58.0,8.0,111.601317831183,-64.5319854313429,21491.854513824
259,2900114.0,57.0,8.0,111.686045620717,-64.4952271054761,21484.8579514027
260,2900114.0,56.0,8.0,111.770606059229,-64.4585413832189,21477.8752083182
261,2900114.0,55.0,8.0,111.855323897927,-64.4217873744251,21470.8794676065
262,2900114.0,54.0,8.0,111.940703997707,-64.3847460501143,21463.8290393949
263,2900114.0,53.0,8.0,112.026539061286,-64.3475073441926,21456.7410416603
264,2900114.0,52.0,1.0,112.113,-64.31,21449.6014467478
265,2900114.0,51.0,8.0,112.260473836512,-64.2664056866216,21442.6049883962
266,2900114.0,50.0,8.0,112.409093145444,-64.2224755329148,21435.554236114
267,2900114.0,49.0,8.0,112.558649765442,-64.1782683208669,21428.4590162039
268,2900114.0,48.0,8.0,112.707294203165,-64.1343307393793,21421.4070717692
269,2900114.0,47.0,8.0,112.856800566838,-64.0901383825211,21414.3142361045
